cat1,cat2,relatedness,propOverlap
F108,M85,0,0.344765523
F109,F51,0.07,0.03840384
F47,F49,0.09,0.028985507
F49,M85,0,0.35882059
F51,M29,0,0.882257012
M68,F49,0.31,0.004757171
M68,M29,0.13,0.190023
M85,F47,0,0.309095548
M85,F49,0,0.137389973
